,Dates,Time,Open,High,Low,Close,Volume,Average,BarCount
198,2014-08-19,00:00:00,197.65,198.54,197.4,198.23,508082,198.177,151014
199,2014-08-20,00:00:00,198.12,199.16,197.93,199.01,641489,198.648,183010
200,2014-08-21,00:00:00,199.17,199.76,198.93,199.6,566421,199.418,145794
201,2014-08-22,00:00:00,199.64,199.69,198.74,199.35,649156,199.264,186462
202,2014-08-25,00:00:00,199.9,200.59,199.86,200.1,492782,200.186,134486
203,2014-08-26,00:00:00,200.02,200.82,199.83,200.43,436746,200.48,116421
204,2014-08-27,00:00:00,200.4,200.6,199.94,200.26,409085,200.276,107979
205,2014-08-28,00:00:00,200.0,200.51,199.35,200.42,512333,199.928,141627
206,2014-08-29,00:00:00,200.69,200.97,199.82,200.51,545039,200.437,149133
207,2014-09-02,00:00:00,200.91,201.18,199.86,200.62,600638,200.492,174719
208,2014-09-03,00:00:00,200.8,201.71,200.22,200.44,517561,200.777,153262
209,2014-09-04,00:00:00,200.45,201.58,199.66,200.47,725401,200.697,204862
210,2014-09-05,00:00:00,200.03,201.32,199.34,201.29,801776,200.422,224930
211,2014-09-08,00:00:00,201.0,201.21,200.0,200.6,560607,200.625,160102
212,2014-09-09,00:00:00,200.57,200.9,198.91,199.34,765919,199.746,217025
213,2014-09-10,00:00:00,199.33,200.2,198.77,200.05,623374,199.577,185043
214,2014-09-11,00:00:00,199.85,200.52,199.11,200.33,609612,199.812,178125
215,2014-09-12,00:00:00,200.24,200.44,198.56,198.88,975410,199.291,242499
216,2014-09-15,00:00:00,198.52,199.32,198.38,198.99,620045,198.856,197701
217,2014-09-16,00:00:00,198.8,200.84,198.43,200.58,876345,200.012,253375
218,2014-09-17,00:00:00,200.48,201.68,199.75,200.76,1259058,200.794,337936
219,2014-09-18,00:00:00,200.48,202.27,200.48,202.1,789194,201.615,204499
220,2014-09-19,00:00:00,201.75,202.45,200.28,200.28,995816,201.003,249900
221,2014-09-22,00:00:00,199.96,200.6,198.73,198.93,1147757,199.281,276321
222,2014-09-23,00:00:00,198.6,199.26,197.32,197.78,925816,198.532,241761
223,2014-09-24,00:00:00,198.01,199.69,197.52,199.57,859547,198.755,233085
224,2014-09-25,00:00:00,199.43,199.6,196.25,196.84,1323731,197.119,373052
225,2014-09-26,00:00:00,196.52,198.39,196.14,197.9,962376,197.315,265019
226,2014-09-29,00:00:00,197.36,198.02,196.05,197.44,826150,197.124,246403
227,2014-09-30,00:00:00,197.57,198.3,196.47,196.61,1102367,197.326,310850
228,2014-10-01,00:00:00,196.75,197.09,193.91,194.64,1621610,195.117,476537
229,2014-10-02,00:00:00,194.6,195.07,192.35,194.49,1470686,193.968,453639
230,2014-10-03,00:00:00,194.83,196.94,194.69,196.52,1083075,196.237,305801
231,2014-10-06,00:00:00,197.08,197.6,195.58,195.95,935412,196.557,300898
232,2014-10-07,00:00:00,195.81,195.92,193.01,193.36,1208159,194.498,367568
233,2014-10-08,00:00:00,193.5,196.92,192.36,196.51,1683532,194.653,519592
234,2014-10-09,00:00:00,197.04,197.45,192.1,192.38,1889714,194.076,589128
235,2014-10-10,00:00:00,192.74,193.65,189.92,190.27,2024286,191.98,656823
236,2014-10-13,00:00:00,189.66,191.15,186.97,187.7,2130551,189.391,668016
237,2014-10-14,00:00:00,187.8,189.82,187.04,188.67,1941417,188.343,644834
238,2014-10-15,00:00:00,187.83,187.87,181.92,185.25,3277760,184.82,1086481
239,2014-10-16,00:00:00,185.61,187.58,182.17,186.23,2346921,185.547,810426
240,2014-10-17,00:00:00,187.0,189.75,187.0,188.55,1890002,188.644,587871
241,2014-10-20,00:00:00,188.9,191.0,187.86,190.47,1155189,189.51,340317
242,2014-10-21,00:00:00,190.36,194.54,190.36,194.26,1428665,193.044,424823
243,2014-10-22,00:00:00,194.25,194.91,192.61,193.21,1323980,193.766,419558
244,2014-10-23,00:00:00,193.71,196.2,193.49,195.26,1325239,195.167,418627
245,2014-10-24,00:00:00,194.84,196.67,192.62,196.6,1090401,195.719,337370
246,2014-10-27,00:00:00,196.46,197.02,195.03,196.38,793310,195.863,265143
247,2014-10-28,00:00:00,196.8,198.63,196.5,198.12,973005,197.573,285259
248,2014-10-29,00:00:00,198.44,199.12,196.8,197.65,1323169,198.032,423408
249,2014-10-30,00:00:00,198.41,199.95,196.52,199.52,1047363,198.705,322763
250,2014-10-31,00:00:00,201.15,201.93,199.95,201.62,1219104,201.382,342036
251,2014-11-03,00:00:00,201.4,202.45,201.25,201.29,852172,201.822,283521
252,2014-11-04,00:00:00,201.85,201.95,200.06,201.17,828123,200.962,263967
253,2014-11-05,00:00:00,201.57,202.59,201.07,202.16,819688,202.083,257924
254,2014-11-06,00:00:00,202.08,203.45,201.64,203.44,867032,202.711,240403
255,2014-11-07,00:00:00,203.41,203.85,202.61,203.16,799200,203.178,217533
256,2014-11-10,00:00:00,203.25,204.04,203.03,203.9,612703,203.689,179530
257,2014-11-11,00:00:00,204.14,204.37,203.65,204.02,475131,203.984,140351
258,2014-11-12,00:00:00,203.9,204.24,203.24,204.01,656861,203.869,175251
259,2014-11-13,00:00:00,204.48,204.87,203.21,204.05,806819,204.085,247338
260,2014-11-14,00:00:00,203.97,204.53,203.72,204.52,638350,204.128,196506
261,2014-11-17,00:00:00,203.89,204.58,203.32,204.42,633435,204.192,191460
262,2014-11-18,00:00:00,204.3,205.92,204.14,205.3,656983,205.364,190143
263,2014-11-19,00:00:00,205.07,205.55,204.3,205.2,727016,204.962,226074
264,2014-11-20,00:00:00,205.0,205.76,204.06,205.63,665554,205.272,186490
265,2014-11-21,00:00:00,206.25,207.72,205.7,206.74,1049166,206.844,265588
266,2014-11-24,00:00:00,206.68,207.39,206.68,207.22,566635,207.164,161699
267,2014-11-25,00:00:00,207.31,207.79,206.8,207.37,624547,207.275,182148
268,2014-11-26,00:00:00,207.51,208.06,207.03,207.83,506553,207.425,142731
269,2014-11-28,00:00:00,207.49,207.93,206.87,206.95,497385,207.364,129925
270,2014-12-01,00:00:00,206.73,207.2,205.38,205.64,894703,205.926,277514
271,2014-12-02,00:00:00,206.29,207.34,205.69,207.3,660669,206.726,196444
